REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,AGE_GROUP,2010_hdi,2018_hdi,2010_hcp,2018_hcp,2010_hci,2018_hci
AFG,Afghanistan,"Population ages 20-24, female (% of female population)",Female,20 to 24 years old,working_age,8.60157728722384,9.77936060715956,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 20-24, male (% of male population)",Male,20 to 24 years old,working_age,8.76955828347192,9.93220088004488,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 25-29, female (% of female population)",Female,25 to 29 years old,working_age,6.74604202649785,7.64220812950302,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 25-29, male (% of male population)",Male,25 to 29 years old,working_age,6.84045563894197,7.69697082162435,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 30-34, female (% of female population)",Female,30 to 34 years old,working_age,5.67883992460914,5.86623670624795,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 30-34, male (% of male population)",Male,30 to 34 years old,working_age,5.7240771018874,5.88150423643164,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 35-39, female (% of female population)",Female,35 to 39 years old,working_age,4.72237322612639,4.73402043934793,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 35-39, male (% of male population)",Male,35 to 39 years old,working_age,4.64501908398217,4.73873113976496,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 40-44, female (% of female population)",Female,40 to 44 years old,working_age,3.83814931708529,3.96479506535704,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 40-44, male (% of male population)",Male,40 to 44 years old,working_age,3.58433580774016,3.91744318622386,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 45-49, female (% of female population)",Female,45 to 49 years old,working_age,3.07616898610805,3.23402463388246,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 45-49, male (% of male population)",Male,45 to 49 years old,working_age,2.69960863727065,3.07400557560519,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 50-54, female (% of female population)",Female,50 to 54 years old,working_age,2.4474551018825,2.57393692272719,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 50-54, male (% of male population)",Male,50 to 54 years old,working_age,2.09012423672567,2.28658041856657,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 55-59, female (% of female population)",Female,55 to 59 years old,working_age,1.91469263110701,2.01010071421234,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 55-59, male (% of male population)",Male,55 to 59 years old,working_age,1.61885152504575,1.67754834107445,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 60-64, female (% of female population)",Female,60 to 64 years old,working_age,1.56810923152585,1.53345581374176,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 60-64, male (% of male population)",Male,60 to 64 years old,working_age,1.25461825221769,1.23874596635326,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 65-69, female (% of female population)",Female,65 to 69 years old,retirement_age,1.11800578641727,1.12898991345094,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 65-69, male (% of male population)",Male,65 to 69 years old,retirement_age,0.923662705044338,0.87551475261696,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 65 and above, female (% of female population)",Female,65 years old and over,retirement_age,2.57067642873899,2.71666386801821,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 65 and above, female",Female,65 years old and over,retirement_age,360197.0,493846.0,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 65 and above, male",Male,65 years old and over,retirement_age,292208.0,375906.0,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 65 and above, male (% of male population)",Male,65 years old and over,retirement_age,2.04737362232791,2.02484871560673,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 65 and above, total",Total,65 years old and over,retirement_age,652405.0,869752.0,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,Population ages 65 and above (% of total population),Total,65 years old and over,retirement_age,2.30661490116607,2.36712047688815,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 70-74, female (% of female population)",Female,70 to 74 years old,retirement_age,0.744459358087221,0.818005747750045,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 70-74, male (% of male population)",Male,70 to 74 years old,retirement_age,0.599979982216613,0.601070697832434,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 75-79, female (% of female population)",Female,75 to 79 years old,retirement_age,0.432878651597345,0.458497006133785,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 75-79, male (% of male population)",Male,75 to 79 years old,retirement_age,0.330601715160395,0.339710669565765,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 80 and above, female (% of female population)",Female,80 years old and over,retirement_age,0.275332632637155,0.311171200683448,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,"Population ages 80 and above, male (% of male population)",Male,80 years old and over,retirement_age,0.193129219906561,0.208552595591566,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,other,11.055030552728766,-1.713742692542624,52.175,49.57,,0.3934892416000366
AFG,Afghanistan,GDP per capita (current US$),Total,All age ranges or no breakdown by age,other,560.6215054631456,491.3372213826032,52.175,49.57,,0.3934892416000366
ALB,Albania,"Population ages 20-24, female (% of female population)",Female,20 to 24 years old,working_age,8.20615180173226,8.55168096547761,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 20-24, male (% of male population)",Male,20 to 24 years old,working_age,8.97708766389994,8.83167396240745,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 25-29, female (% of female population)",Female,25 to 29 years old,working_age,6.876264397965,8.28438214085355,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 25-29, male (% of male population)",Male,25 to 29 years old,working_age,6.99523859163933,8.77502755535328,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 30-34, female (% of female population)",Female,30 to 34 years old,working_age,6.3172522911592,6.68544668390734,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 30-34, male (% of male population)",Male,30 to 34 years old,working_age,5.81113425349028,7.33750718114495,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 35-39, female (% of female population)",Female,35 to 39 years old,working_age,6.55441610781783,5.86213620130537,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 35-39, male (% of male population)",Male,35 to 39 years old,working_age,5.87364629163126,5.64586327658455,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 40-44, female (% of female population)",Female,40 to 44 years old,working_age,6.91213791645118,5.92237592873856,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 40-44, male (% of male population)",Male,40 to 44 years old,working_age,6.3918645294062,5.22064874969548,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 45-49, female (% of female population)",Female,45 to 49 years old,working_age,7.10190950482722,6.50236717157205,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 45-49, male (% of male population)",Male,45 to 49 years old,working_age,6.90707970405676,5.76177376199853,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 50-54, female (% of female population)",Female,50 to 54 years old,working_age,6.6568684445114,6.72789841686849,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 50-54, male (% of male population)",Male,50 to 54 years old,working_age,6.65910262950969,6.21323480651221,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 55-59, female (% of female population)",Female,55 to 59 years old,working_age,5.34224924258572,6.90492316954696,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 55-59, male (% of male population)",Male,55 to 59 years old,working_age,5.41210655558325,6.65300358586067,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 60-64, female (% of female population)",Female,60 to 64 years old,working_age,4.20193075194881,5.99140703036274,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 60-64, male (% of male population)",Male,60 to 64 years old,working_age,4.28920257283118,5.79248777198478,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 65-69, female (% of female population)",Female,65 to 69 years old,retirement_age,3.73692617993306,4.65077377775954,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 65-69, male (% of male population)",Male,65 to 69 years old,retirement_age,3.71126825223797,4.49084198968149,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 65 and above, female (% of female population)",Female,65 years old and over,retirement_age,11.4443955396583,14.3655159202551,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 65 and above, female",Female,65 years old and over,retirement_age,168492.0,189190.0,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 65 and above, male",Male,65 years old and over,retirement_age,149612.0,169100.0,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 65 and above, male (% of male population)",Male,65 years old and over,retirement_age,10.3842471044603,13.1008166436428,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 65 and above, total",Total,65 years old and over,retirement_age,318103.0,358290.0,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,Population ages 65 and above (% of total population),Total,65 years old and over,retirement_age,10.9200550479108,13.739521828078,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 70-74, female (% of female population)",Female,70 to 74 years old,retirement_age,3.15214053771769,3.45022098162363,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 70-74, male (% of male population)",Male,70 to 74 years old,retirement_age,3.09615808124287,3.335157559381,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 75-79, female (% of female population)",Female,75 to 79 years old,retirement_age,2.19328395038375,2.99084602438324,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 75-79, male (% of male population)",Male,75 to 79 years old,retirement_age,2.021303108481,2.71853890662313,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 80 and above, female (% of female population)",Female,80 years old and over,retirement_age,2.36204487162381,3.27367513648865,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,"Population ages 80 and above, male (% of male population)",Male,80 years old and over,retirement_age,1.55551766249851,2.55627818795718,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,other,3.4856480864462185,5.283579496272878,61.753,65.072,0.5436029434204102,0.6286662817001343
ALB,Albania,GDP per capita (current US$),Total,All age ranges or no breakdown by age,other,4149.14469936847,5897.654525887742,61.753,65.072,0.5436029434204102,0.6286662817001343
DZA,Algeria,"Population ages 20-24, female (% of female population)",Female,20 to 24 years old,working_age,10.3547948376929,7.4306991231116,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 20-24, male (% of male population)",Male,20 to 24 years old,working_age,10.5198089105618,7.62445807029769,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 25-29, female (% of female population)",Female,25 to 29 years old,working_age,10.1806092935534,8.34535657519042,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 25-29, male (% of male population)",Male,25 to 29 years old,working_age,10.3346053909539,8.5345057202262,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 30-34, female (% of female population)",Female,30 to 34 years old,working_age,8.77106485803599,8.76969001101696,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 30-34, male (% of male population)",Male,30 to 34 years old,working_age,8.87115076903641,8.86569409292281,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 35-39, female (% of female population)",Female,35 to 39 years old,working_age,7.35660939449605,8.16721136285322,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 35-39, male (% of male population)",Male,35 to 39 years old,working_age,7.37262370386236,8.30637700104579,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 40-44, female (% of female population)",Female,40 to 44 years old,working_age,6.29293800124846,6.79539120785356,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 40-44, male (% of male population)",Male,40 to 44 years old,working_age,6.30897337690311,6.84615848990807,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 45-49, female (% of female population)",Female,45 to 49 years old,working_age,5.04019486460151,5.78520549703989,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 45-49, male (% of male population)",Male,45 to 49 years old,working_age,5.10721065180418,5.81124891089314,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 50-54, female (% of female population)",Female,50 to 54 years old,working_age,4.05323134727334,4.8237319316619,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 50-54, male (% of male population)",Male,50 to 54 years old,working_age,4.07184464020578,4.85497297983896,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 55-59, female (% of female population)",Female,55 to 59 years old,working_age,3.29469868418758,3.7579236638694,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 55-59, male (% of male population)",Male,55 to 59 years old,working_age,3.34020895145764,3.80721863148407,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 60-64, female (% of female population)",Female,60 to 64 years old,working_age,2.35346273551917,3.03280686600397,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 60-64, male (% of male population)",Male,60 to 64 years old,working_age,2.24999087820051,3.00495334904518,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 65-69, female (% of female population)",Female,65 to 69 years old,retirement_age,1.79962807185583,2.28098681350553,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 65-69, male (% of male population)",Male,65 to 69 years old,retirement_age,1.60842521199628,2.25785083878691,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 65 and above, female (% of female population)",Female,65 years old and over,retirement_age,5.26280450606669,5.95590373036383,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 65 and above, female",Female,65 years old and over,retirement_age,928032.0,1237651.0,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 65 and above, male (% of male population)",Male,65 years old and over,retirement_age,4.54268848561582,5.29480448758174,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 65 and above, male",Male,65 years old and over,retirement_age,842871.0,1150286.0,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 65 and above, total",Total,65 years old and over,retirement_age,1770903.0,2387936.0,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,Population ages 65 and above (% of total population),Total,65 years old and over,retirement_age,4.89358620427901,5.61800854886956,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 70-74, female (% of female population)",Female,70 to 74 years old,retirement_age,1.52694409154701,1.48341175198735,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 70-74, male (% of male population)",Male,70 to 74 years old,retirement_age,1.32881578346718,1.2872939914535,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 75-79, female (% of female population)",Female,75 to 79 years old,retirement_age,1.08510468471526,1.08353664949514,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 75-79, male (% of male population)",Male,75 to 79 years old,retirement_age,0.910118449732795,0.913170809217937,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 80 and above, female (% of female population)",Female,80 years old and over,retirement_age,0.8511276579486,1.1079685153758,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,"Population ages 80 and above, male (% of male population)",Male,80 years old and over,retirement_age,0.695329040419569,0.836488848123388,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,GDP per capita (current US$),Total,All age ranges or no breakdown by age,other,4912.785855036717,4577.210291804906,49.324,46.775,0.531282901763916,0.5319939255714417
DZA,Algeria,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,other,2.7792190819471188,-0.546019580108478,49.324,46.775,0.531282901763916,0.5319939255714417
AGO,Angola,"Population ages 20-24, female (% of female population)",Female,20 to 24 years old,working_age,8.73986547631018,8.39907744869211,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 20-24, male (% of male population)",Male,20 to 24 years old,working_age,8.87921799882669,8.50259392234502,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 25-29, female (% of female population)",Female,25 to 29 years old,working_age,7.36924794801098,7.44935511778474,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 25-29, male (% of male population)",Male,25 to 29 years old,working_age,7.40466122679101,7.47992045276793,87.855,85.693,,0.3601909577846527
